# Sample dyno run for RollerGraph replay testing
# Format: samplenum,speed_kmh,nm,hp,NA,NA,NA,NA,NA
0,0.0,0.0,0,NA,NA,NA,NA,NA
1,0.0,0.0,0,NA,NA,NA,NA,NA
2,0.0,0.0,0,NA,NA,NA,NA,NA
3,0.0,0.0,0,NA,NA,NA,NA,NA
4,0.0,0.0,0,NA,NA,NA,NA,NA
5,30.0,138.8,43.8,NA,NA,NA,NA,NA
6,31.1,142.0,46.5,NA,NA,NA,NA,NA
7,32.2,145.3,49.3,NA,NA,NA,NA,NA
8,33.3,148.6,52.1,NA,NA,NA,NA,NA
9,34.4,152.0,55.1,NA,NA,NA,NA,NA
10,35.6,155.4,58.2,NA,NA,NA,NA,NA
11,36.7,158.8,61.3,NA,NA,NA,NA,NA
12,37.8,162.3,64.5,NA,NA,NA,NA,NA
13,38.9,165.7,67.8,NA,NA,NA,NA,NA
14,40.0,169.2,71.2,NA,NA,NA,NA,NA
15,41.1,172.6,74.7,NA,NA,NA,NA,NA
16,42.2,176.1,78.3,NA,NA,NA,NA,NA
17,43.3,179.5,81.9,NA,NA,NA,NA,NA
18,44.4,183.0,85.6,NA,NA,NA,NA,NA
19,45.6,186.4,89.4,NA,NA,NA,NA,NA
20,46.7,189.7,93.2,NA,NA,NA,NA,NA
21,47.8,193.0,97.1,NA,NA,NA,NA,NA
22,48.9,196.3,101,NA,NA,NA,NA,NA
23,50.0,199.5,105,NA,NA,NA,NA,NA
24,51.1,202.6,109,NA,NA,NA,NA,NA
25,52.2,205.6,113,NA,NA,NA,NA,NA
26,53.3,208.6,117.1,NA,NA,NA,NA,NA
27,54.4,211.5,121.2,NA,NA,NA,NA,NA
28,55.6,214.3,125.3,NA,NA,NA,NA,NA
29,56.7,216.9,129.4,NA,NA,NA,NA,NA
30,57.8,219.5,133.5,NA,NA,NA,NA,NA
31,58.9,221.9,137.6,NA,NA,NA,NA,NA
32,60.0,224.2,141.6,NA,NA,NA,NA,NA
33,61.1,226.4,145.6,NA,NA,NA,NA,NA
34,62.2,228.4,149.6,NA,NA,NA,NA,NA
35,63.3,230.3,153.5,NA,NA,NA,NA,NA
36,64.4,232.0,157.4,NA,NA,NA,NA,NA
37,65.6,233.6,161.2,NA,NA,NA,NA,NA
38,66.7,235.0,164.9,NA,NA,NA,NA,NA
39,67.8,236.2,168.5,NA,NA,NA,NA,NA
40,68.9,237.3,172.1,NA,NA,NA,NA,NA
41,70.0,238.2,175.5,NA,NA,NA,NA,NA
